Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
40,Farmers Queries in Kisan Call Centre (KCC) from Bhind district of Madhya Pradesh for the month of August 2015,a9a6530d-da9a-4298-b0ed-c86aa1150a6d,2020-09-22,0,0
41,Farmers Queries in Kisan Call Centre (KCC) from Jagatsinghapur district of Odisha for the month of March 2015,d06101ff-a9ad-4601-b8ea-52f0cbd6b8bd,2020-09-22,0,0
42,Farmers Queries in Kisan Call Centre (KCC) from Dimapur district of Nagaland for the month of September 2015,1853698c-51e4-4071-a2b3-f7ca5f3d6a25,2020-09-21,0,0
43,Farmers Queries in Kisan Call Centre (KCC) from Bhadrak district of Odisha for the month of November 2015,d5c1dd60-e512-4ffc-bf15-1e8219b9fee8,2020-09-21,0,0
44,Farmers Queries in Kisan Call Centre (KCC) from Muzaffarnagar district of Uttar Pradesh for the month of February 2015,5d613e1c-c008-45b9-826d-d3552d7065a0,2020-09-21,0,0
45,Farmers Queries in Kisan Call Centre (KCC) from North Tripura district of Tripura for the month of September 2015,46d6fa47-c5cb-44a9-a5b2-0b0b9387d8b8,2020-09-21,0,0
46,Farmers Queries in Kisan Call Centre (KCC) from Nagpur district of Maharashtra for the month of February 2015,51460aa6-5240-42bc-aec7-ba4aaa16a44e,2020-09-21,0,0
47,Farmers Queries in Kisan Call Centre (KCC) from Shahid Bhagat Singh Nagar (Nawanshahr) district of Punjab for the month of July 2015,45b3033c-9181-4a56-8e39-81e314de2d02,2020-09-21,0,0
48,Farmers Queries in Kisan Call Centre (KCC) from Jharsuguda district of Odisha for the month of December 2015,672de542-3ca1-4239-a501-a519404d9b00,2020-09-21,0,0
49,Farmers Queries in Kisan Call Centre (KCC) from Idukki district of Kerala for the month of October 2015,30e85406-4b39-4416-849e-1996cdd5b122,2020-09-21,0,0
50,Farmers Queries in Kisan Call Centre (KCC) from Varanasi district of Uttar Pradesh for the month of December 2015,d6bc1008-e828-4580-aa47-89428f89bd2a,2020-09-21,0,0
51,Farmers Queries in Kisan Call Centre (KCC) from Chittaurgarh district of Rajasthan for the month of April 2015,d351a440-867c-47e4-8d66-47ba650719a2,2020-09-21,0,0
52,Farmers Queries in Kisan Call Centre (KCC) from Sheopur Kala district of Madhya Pradesh for the month of July 2015,cc2b9d19-df8c-4750-9ed0-bd5ad37b3faf,2020-09-21,0,0
53,Farmers Queries in Kisan Call Centre (KCC) from Raisen district of Madhya Pradesh for the month of February 2015,bb887442-bc70-4e47-afaf-c5b853ab1a35,2020-09-21,0,0
54,Farmers Queries in Kisan Call Centre (KCC) from Karur district of Tamil Nadu for the month of April 2015,de535a8c-578c-40c5-b533-548703c54158,2020-09-21,0,0
55,Farmers Queries in Kisan Call Centre (KCC) from Aurangabad district of Maharashtra for the month of January 2015,b98d5d82-50db-40f3-be91-6ca9154f9066,2020-09-21,0,0
56,Farmers Queries in Kisan Call Centre (KCC) from Zunheboto district of Nagaland for the month of May 2015,228929f5-ba40-4294-a4a8-d544ba9b5449,2020-09-21,0,0
57,Farmers Queries in Kisan Call Centre (KCC) from Kannauj district of Uttar Pradesh for the month of July 2015,684cf577-48b3-4bd3-881b-8457f10f18ee,2020-09-21,0,0
58,Farmers Queries in Kisan Call Centre (KCC) from Sundargarh district of Odisha for the month of July 2015,b4ce3ccb-aa0f-492f-acfe-5e21ba7fc923,2020-09-21,0,0
59,Farmers Queries in Kisan Call Centre (KCC) from Keonjhar district of Odisha for the month of February 2015,3fa254d9-1110-46e7-9b09-bfb6055159da,2020-09-21,0,0
60,Farmers Queries in Kisan Call Centre (KCC) from Anuppur district of Madhya Pradesh for the month of March 2015,d2b74013-d25e-4ed3-a470-a848584515a2,2020-09-21,0,0
61,Farmers Queries in Kisan Call Centre (KCC) from Sehore district of Madhya Pradesh for the month of October 2015,b474923b-ea33-4ff3-8b62-6d79589386ac,2020-09-21,0,0
62,Farmers Queries in Kisan Call Centre (KCC) from Villuppuram district of Tamil Nadu for the month of April 2015,49e7eba2-eb6a-4392-986e-c4b51c30e9e5,2020-09-21,0,0
63,Farmers Queries in Kisan Call Centre (KCC) from Bikaner district of Rajasthan for the month of November 2015,7ccf6930-f4a7-4aa3-8bc6-3ffc5354c000,2020-09-21,0,0
64,Farmers Queries in Kisan Call Centre (KCC) from Sidhi district of Madhya Pradesh for the month of February 2015,df33a689-bcfc-4761-92d5-3327b3b5a98c,2020-09-21,0,0
65,Farmers Queries in Kisan Call Centre (KCC) from Madurai district of Tamil Nadu for the month of April 2015,ab980294-4877-45a9-9b95-5e7ef947eef3,2020-09-21,0,0
66,Farmers Queries in Kisan Call Centre (KCC) from Dindori district of Madhya Pradesh for the month of November 2015,b5de5ba4-dd24-40d2-a59d-ce0074fc4446,2020-09-21,0,0
67,Farmers Queries in Kisan Call Centre (KCC) from Thiruvarur district of Tamil Nadu for the month of January 2015,0dde0fd2-ea5d-4715-ab62-65d6f4344083,2020-09-21,0,0
68,Farmers Queries in Kisan Call Centre (KCC) from Faridkot district of Punjab for the month of July 2015,b93fcff7-be6f-46ce-b514-107adfef843a,2020-09-21,0,0
69,Farmers Queries in Kisan Call Centre (KCC) from Jajapur district of Odisha for the month of August 2015,6c35b6ba-b124-4438-b34c-32fd025abc80,2020-09-21,0,0
70,Farmers Queries in Kisan Call Centre (KCC) from Sawai Madhopur district of Rajasthan for the month of October 2015,e6ffbcf5-9e3c-416c-a582-efaf0bc0b972,2020-09-21,0,0
71,Farmers Queries in Kisan Call Centre (KCC) from Ganjam district of Odisha for the month of November 2015,f8b83eaa-a78f-4127-9e29-1afe8603d152,2020-09-21,0,0
72,Farmers Queries in Kisan Call Centre (KCC) from Pathanamthitta district of Kerala for the month of November 2015,3342fa45-2467-403d-8477-7b62f11b8ac5,2020-09-21,0,0
73,Farmers Queries in Kisan Call Centre (KCC) from Ghazipur district of Uttar Pradesh for the month of September 2015,ac544dee-ee9a-4221-98f3-7c7829aa692a,2020-09-21,0,0
74,Farmers Queries in Kisan Call Centre (KCC) from Jagatsinghapur district of Odisha for the month of April 2015,af9b136a-c52d-431e-85a1-452d08675c2a,2020-09-21,0,0
75,Farmers Queries in Kisan Call Centre (KCC) from Dharwad district of Karnataka for the month of April 2015,f027051e-72e1-4a57-9de5-ee857a4ecaf9,2020-09-21,0,0
76,Farmers Queries in Kisan Call Centre (KCC) from Basti district of Uttar Pradesh for the month of October 2015,40e4b9e9-79f3-44c6-8344-214ce7cb88f1,2020-09-21,0,0
77,Farmers Queries in Kisan Call Centre (KCC) from Bandipore district of Jammu and Kashmir for the month of March 2015,0bd80085-4b71-4456-8c6b-d445b53535d7,2020-09-21,0,0
78,Farmers Queries in Kisan Call Centre (KCC) from Washim district of Maharashtra for the month of November 2015,72e1f7f8-204c-4925-bb4f-3c400f28a964,2020-09-21,0,0
79,Farmers Queries in Kisan Call Centre (KCC) from Jalaun district of Uttar Pradesh for the month of January 2015,46c9e084-98de-475f-b403-2759fa9b9c99,2020-09-21,0,0
80,Farmers Queries in Kisan Call Centre (KCC) from Hardoi district of Uttar Pradesh for the month of March 2015,49117b1c-2361-452d-918e-41ed366ef152,2020-09-21,0,0
81,Farmers Queries in Kisan Call Centre (KCC) from Thrissur district of Kerala for the month of March 2015,58b0de5c-9d2b-4a66-9395-5e16e64a261e,2020-09-21,0,0
82,Farmers Queries in Kisan Call Centre (KCC) from Sangli district of Maharashtra for the month of May 2015,09e5470d-8cc8-4b1f-98f8-9c42833f7696,2020-09-21,0,0
83,Farmers Queries in Kisan Call Centre (KCC) from Pilibhit district of Uttar Pradesh for the month of April 2015,1b9bc0e4-84b2-495f-aced-771ac7e2469a,2020-09-21,0,0
84,Farmers Queries in Kisan Call Centre (KCC) from Tirupur district of Tamil Nadu for the month of October 2015,7611e9ca-851a-4c54-94f5-5b70b8075e30,2020-09-21,0,0
85,Farmers Queries in Kisan Call Centre (KCC) from Bellary district of Karnataka for the month of December 2015,f22f1a2c-d7ee-4d61-b917-34f29db6194a,2020-09-21,0,0
86,Farmers Queries in Kisan Call Centre (KCC) from Jhalawar district of Rajasthan for the month of January 2015,6ef8b9d4-0a06-41ca-83b5-906d402426e4,2020-09-21,0,0
87,Farmers Queries in Kisan Call Centre (KCC) from Dewas district of Madhya Pradesh for the month of June 2015,5095fde7-a5b1-4025-898d-063ca86cc436,2020-09-21,0,0
88,Farmers Queries in Kisan Call Centre (KCC) from Morena district of Madhya Pradesh for the month of January 2015,e36f8711-4256-4647-9d8e-29102f98473f,2020-09-21,0,0
89,Farmers Queries in Kisan Call Centre (KCC) from Krishnagiri district of Tamil Nadu for the month of June 2015,0d21d57e-a717-466f-b384-ba78ba5fc10e,2020-09-21,0,0
90,Farmers Queries in Kisan Call Centre (KCC) from Katni district of Madhya Pradesh for the month of July 2015,7ddda2f0-291d-4798-8bb8-54301c154aa8,2020-09-21,0,0
91,Farmers Queries in Kisan Call Centre (KCC) from Farrukhabad district of Uttar Pradesh for the month of April 2015,f9b944a6-962f-4f7b-ba6b-544e3794983b,2020-09-21,0,0
92,Farmers Queries in Kisan Call Centre (KCC) from Bhind district of Madhya Pradesh for the month of September 2015,ef122840-508b-4b7a-a61e-5bb698d1197e,2020-09-21,0,0
93,Farmers Queries in Kisan Call Centre (KCC) from Senapati district of Manipur for the month of December 2015,7bd70b35-b2ed-40a8-be6b-059dcd0dd08d,2020-09-21,0,0
94,Farmers Queries in Kisan Call Centre (KCC) from North Tripura district of Tripura for the month of October 2015,676e46ce-8546-4084-b530-40078ad72647,2020-09-21,0,0
95,Farmers Queries in Kisan Call Centre (KCC) from Belgaum district of Karnataka for the month of July 2015,3a3b4b00-d8c6-4162-8938-2a86c87a0181,2020-09-21,0,0
96,Farmers Queries in Kisan Call Centre (KCC) from Baudh district of Odisha for the month of September 2015,0bce6c23-8791-451d-b582-b2d525a19501,2020-09-21,0,0
97,Farmers Queries in Kisan Call Centre (KCC) from Gajapati district of Odisha for the month of April 2015,82a5fbb6-a8fb-4a3b-b0c4-34ac7898571b,2020-09-21,0,0
98,Farmers Queries in Kisan Call Centre (KCC) from Patiala district of Punjab for the month of November 2015,fbb87721-14ac-4bda-99df-5bfb3752506a,2020-09-21,0,0
99,Farmers Queries in Kisan Call Centre (KCC) from Ferozpur district of Punjab for the month of June 2015,01e934d7-b96c-4992-82c4-4ef071886e7a,2020-09-21,0,0
100,Farmers Queries in Kisan Call Centre (KCC) from Mandsaur district of Madhya Pradesh for the month of February 2015,a8bf74e2-e70b-40a8-927e-325f9cf4292d,2020-09-21,0,0
101,Farmers Queries in Kisan Call Centre (KCC) from Narsimpur district of Madhya Pradesh for the month of December 2015,9d79898e-72aa-4ce8-8cc7-534522516e5f,2020-09-21,0,0
102,Farmers Queries in Kisan Call Centre (KCC) from Jhabua district of Madhya Pradesh for the month of June 2015,a52c36e2-7244-4a43-a764-e0a00c246dde,2020-09-21,0,0
103,Farmers Queries in Kisan Call Centre (KCC) from Dimapur district of Nagaland for the month of October 2015,e1909dbe-cda7-4556-8453-677b5efb245a,2020-09-21,0,0
104,Farmers Queries in Kisan Call Centre (KCC) from Bishnupur district of Manipur for the month of April 2015,5d8e8715-fcf3-4834-ab6f-988e1a46ec61,2020-09-21,0,0
105,Farmers Queries in Kisan Call Centre (KCC) from Ariyalur district of Tamil Nadu for the month of February 2015,3fdfb6e8-9710-4cb4-8144-2ee16480a0f0,2020-09-21,0,0
106,Farmers Queries in Kisan Call Centre (KCC) from Sundargarh district of Odisha for the month of August 2015,0574845d-4188-454c-9f73-2815468e0d61,2020-09-21,0,0
107,Farmers Queries in Kisan Call Centre (KCC) from Bagalkot district of Karnataka for the month of September 2015,160875b3-cd48-444f-9a65-4a8351823fa2,2020-09-21,0,0
108,Farmers Queries in Kisan Call Centre (KCC) from Alwar district of Rajasthan for the month of August 2015,b110ff8d-b5d4-4665-bb61-040b305dcc3c,2020-09-21,0,0
109,Farmers Queries in Kisan Call Centre (KCC) from Chandrapur district of Maharashtra for the month of November 2015,9b899f83-b30f-484a-a15e-713e1480df53,2020-09-21,0,0
110,Farmers Queries in Kisan Call Centre (KCC) from Ganderbal district of Jammu and Kashmir for the month of December 2015,21e98d8c-da7c-4ed7-a5ec-d2750febe4d9,2020-09-21,0,0
111,Farmers Queries in Kisan Call Centre (KCC) from Kancheepuram district of Tamil Nadu for the month of November 2015,a847ab9a-014b-4033-a677-af8d935dbe66,2020-09-21,0,0
112,Farmers Queries in Kisan Call Centre (KCC) from Anuppur district of Madhya Pradesh for the month of April 2015,5c74f92e-c62a-419b-a662-4747d969505e,2020-09-21,0,0
113,Farmers Queries in Kisan Call Centre (KCC) from South Tripura district of Tripura for the month of February 2015,53b53c28-f69d-4209-bd90-6f3db6f1c723,2020-09-21,0,0
114,Farmers Queries in Kisan Call Centre (KCC) from Ramanathapuram district of Tamil Nadu for the month of August 2015,ab2df20d-2806-47d4-baaa-749848e3bc24,2020-09-21,0,0
115,Farmers Queries in Kisan Call Centre (KCC) from Bikaner district of Rajasthan for the month of December 2015,391ac289-bec0-4f3c-9162-8c21ea0919a7,2020-09-21,0,0
116,Farmers Queries in Kisan Call Centre (KCC) from Chhindwara district of Madhya Pradesh for the month of December 2015,ee2529e3-b429-452d-ac5f-48451b86045a,2020-09-21,0,0
