Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
33,State/ UT-wise Details of Allocation of Funds for Maintenance and Repair (M&R) of National Highways (NHs) from 2014-15 to 2016-17 (From: Ministry of Road Transport and Highways) - Uttarakhand,bc2d3540-c56a-48f3-9e9a-f512737ce297,2023-12-14,379,0
34,State/ UT-wise Details of Maintenance of National Highways (NHs) (in reply to Unstarred Question for 24-07-2017) (From: Ministry of Road Transport and Highways) - West Bengal,be5877a4-5851-4e28-a2a9-3a0b45677cc4,2023-12-14,393,0
35,The details of State Roads approved In-Principle as new National Highways(NHs) in the State of Himachal Pradesh (in reply to Unstarred Question for 24-07-2017) (From: Ministry of Road Transport and Highways),3c38d51c-27cf-4f5d-810c-16830ef42b78,2023-12-14,134,0
36,State/ UT-wise Details of State Roads declared as New National Highways in the Country from 2014-15 to 2017-18 (From: Ministry of Road Transport and Highways) - Andaman and Nicobar Islands,a480c35c-d72d-45c1-89d6-aa1093807ae9,2023-12-14,116,0
37,State/ UT-wise Details of delayed National Highways Projects (in reply to Unstarred Question for 31-07-2017) (From: Ministry of Road Transport and Highways) - Chandigarh,aa80ac50-6d39-4166-804d-686477893bee,2023-12-14,321,0
38,State/ UT-wise List of ROB/RUB under (Setu-Bharatam) (in reply to Unstarred Question for 31-07-2017) (From: Ministry of Road Transport and Highways) - Dadra and Nagar Haveli,271c46e0-31d3-49ad-a9e8-9f04642833f7,2023-12-14,61,0
39,"Status of Buses held by State Road Transport Undertakings (SRTUs) under Accessible India Campaign (in reply to Unstarred Question on 04 March, 2020) (From: Ministry of Social Justice & Empowerment) - Daman and Diu",ee676393-ac02-456c-a3c7-878b46d37f21,2023-12-13,392,0
40,"Details of National Highways under Construction in the Country and Funds Allocated & Released as on 31 December, 2019 (From: Ministry of Road Transport and Highways) - Lakshadweep",d1d563df-dcf7-4aa3-a5d9-5c94ea265074,2023-12-13,59,0
41,Details of Road projects launched in Chhattisgarh from 2015-16 to 2019-20 (From: Ministry of Road Transport and Highways),93eae0ce-919d-4c7b-b97e-b6d16aae8d51,2023-12-13,472,0
42,"State-wise Number of NGOs to whom Road Safety Advocacy Programme has been Sanctioned (in reply to Unstarred Question on 22 July, 2019) (From: Ministry of Road Transport and Highways) - Delhi",271adc45-18da-443d-81f1-364f4cbbcaba,2023-12-12,343,0
43,"State/Agency-wise National Highway Projects delayed due to Land Acquisition (in reply to Unstarred Question on 8th July, 2019) (From: Ministry of Road Transport and Highways) - Puducherry",648c6d38-9c60-4405-b665-5f3938323346,2023-12-11,86,0
44,Year-wise Revenue Generated by Indian Railways for Transporting Coal from 2017-18 to 2021-22 - Ladakh,34edb2b7-2364-4231-abfb-a771304f0eda,2023-12-09,68,0
45,Status of pending Road Projects in West Bengal (In reply to unstarred question for 2nd May 2016)(From : Ministry of Road Transport and Highways),68e98423-3f9c-41ac-bf07-2b1f6a45fe3c,2023-12-07,313,0
46,"Details of Delayed National Highway Projects of National Highways Authority of India (NHAI) Upto May, 2014(From : Ministry of Road Transport and Highways) - Andhra Pradesh",a318d915-9734-45d0-aa1c-28311be3ae23,2023-12-07,409,0
47,Total number of road accident & persons killed at all road crossing during 2014(From : Ministry of Road Transport and Highways) - Arunachal Pradesh,b5259c20-f9dd-41a0-a180-355100040c02,2023-12-07,121,0
48,Causes of road accidents and deaths as on 2014(From : Ministry of Road Transport and Highways) - Assam,d2e87e90-59d6-48d4-b24a-519e268b8906,2023-12-07,492,0
49,Total number of road accidents and persons killed in road accidents due to speed breakers on all roads from 2012 to 2014(From : Ministry of Road Transport and Highways) - Bihar,f4a84aa1-35b3-4e10-887f-763900540d53,2023-12-07,96,0
50,Details of State roads declared as National Highways (NHs) in the country during 2015-16(From : Ministry of Road Transport and Highways) - Chhattisgarh,fea8e3dd-07a7-4048-a4ab-2a24f3fcbe6a,2023-12-07,308,0
51,Sretches put under tolling under BOT (Toll) during 2015-16 (From : Ministry of Road Transport and Highways) - Goa,927b6d48-d5bf-46db-a61e-e350f45782f1,2023-12-07,123,0
52,State/UT-wise Total Number of Persons Killed in Road Accidents in India during 2014 (From: Ministry of Road Transport and Highways) - Gujarat,9ff5b8d2-df11-4217-ae65-faa6f47fed1c,2023-12-07,499,0
53,Toll fee Collected from Different Vehicles in the State of Telangana from 2012-13 to 2016-17 (From: Ministry of Road Transport and Highways),60c2157b-904a-40f0-9949-b9425b8290b5,2023-12-07,205,0
54,Total Number of Road Accidents on all Roads Caused by Stray Animals from 2012 to 2014 (From: Ministry of Road Transport and Highways) - Haryana,ff34312c-ee68-4ae0-93d2-90e45af81f93,2023-12-07,92,0
55,List of on Going Highway Project under Public Private Partnership (PPP) Mode as on April 2016 (From: Ministry of Road Transport and Highways) - Himachal Pradesh,c6ef2760-68ae-4140-ae71-060e6660b716,2023-12-07,126,0
56,"Details of Toll Collecting Agencies on NHs in Tamil Nadu and their Contribution, from 2012-13 to 2015-16 (From: Ministry of Road Transport and Highways)",f799b9a4-f6a2-4190-8ffd-bb5854592533,2023-12-07,98,0
57,State/ UT-wise Total Number of Persons Killed in Road Accidents on National Highways during 2011 to 2015 (Ministry of Road Transport and Highways) - Jharkhand,ca5945ff-9f59-46f3-9c3e-be7ba9b04fad,2023-12-06,162,0
58,State/ UT-wise Number of Road Accidents on National Highways during 2011 to 2015 (Ministry of Road Transport and Highways) - Karnataka,e327b5c0-2b12-45d6-ad1f-1bda4e181792,2023-12-06,445,0
59,Details of ambulance deployed under the Jurisdiction National Highways Authority of India (NHAI) (in reply to Unstarred Question on 25-07-2016) (Ministry of Road Transport and Highways) - Kerala,de09beba-5c39-4d76-98e4-0ddf2dcfdd57,2023-12-06,131,0
60,State/ UT-wise Persons killed due to Intake of Alcohol by Driver of the Vehicle during the calendar year 2015 (Ministry of Road Transport and Highways) - Madhya Pradesh,d3fd2331-fe29-4733-84ae-45d44edcc94c,2023-12-06,54,0
61,Allocation of funds for National Highways (NHs) Financial Year during  2016-17 (Ministry of Road Transport and Highways) - Maharashtra,d7bd2573-b2e1-418a-9955-44ac2950d2f6,2023-12-06,178,0
62,Village-wise Details of Farmers Displaced in Himachal Pradesh due to Kiratpur-Ner Chowk National Highway Project (in reply to Unstarred Question on 18-07-2016 ) (Ministry of Road Transport and Highways),cd246123-5ffd-46d1-87c9-4124ccc5e5b4,2023-12-06,326,0
63,State/ UT-wise Details of Total Number of Road Accidents and Persons Killed in India for the Calendar year during 2015 (Ministry of Road Transport and Highways) - Manipur,ec8ed4fa-fe92-4798-92aa-33f378545237,2023-12-06,124,0
64,The State-wise Details of Projects Approved for Development of State Roads under State Road Fund (CRF) scheme during 2013-14 to 2015-16 (Ministry of Road Transport and Highways) - Meghalaya,2fca5376-7d87-436b-8b8c-ece68851c159,2023-12-06,214,0
65,State/ UT-wise Number of Road Accidents and Persons Killed on National Highways during 2013-15 (Ministry of Road Transport and Highways) - Mizoram,98be2d6a-c689-451b-b5f4-12d59ca90dbe,2023-12-06,357,0
66,State/ UT-wise Funds Allocation and Release under Economic Importance and Inter-State Connectivity (EI & ISC) during 2013-14 to 2015-16 (Ministry of Road Transport and Highways) - Nagaland,7572e4e5-b73f-4012-8f9d-e10d726533aa,2023-12-06,90,0
67,"The State/ UT- wise Details of NHs/ Roads constructed, Including those in the Border States during 2013-14 to 2015-16 (Ministry of Road Transport and Highways) - Odisha",b2b4edbe-d91b-401e-a4ed-22c716c0cd3e,2023-12-06,500,0
