Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
32,Year-wise Details of Funds Allocated and Funds Released to National Safai Karamcharis Finance and Development Corporation (NSKFDC) from 2017-18 to 2021-22 - Dadra and Nagar Haveli,9acafeb6-a2f6-40ba-9028-a50d03f1c4fc,2025-04-24,467,0
33,Year-wise Details of Allocations and Release of Funds under 14th Finance Commission and 15th Finance Commission for Rural Local Bodies in Andhra Pradesh from 2015-16 to 2025-26,1451bcc9-02f6-4b2e-b59d-0e88e7a8ce85,2025-03-27,150,0
34,Component-wise Details of Release of the Fifteenth Finance Commission (XV-FC) recommended Tax Devolution and Grants-in-aid to the State Government of Kerala from 2018-19 to 2023-24,b04501d9-0bb8-43fc-9be6-f577d00bf0a5,2025-03-27,96,0
35,City-wise Details of Funds Released under XVth Finance Commission Air Quality Grant from 2020-21 to 2022-23 - Daman and Diu,63dbe895-c2d1-4807-adbc-4ef2b24e2816,2025-03-27,304,0
36,City-wise Details of Funds Released and Utilised under New Car Assessment Programs (NCAP) and Fifteenth Finance Commission (XVFC) from 2019-20 to 2023-24 - Lakshadweep,bac4672f-52cb-4c11-ad14-11117355c12c,2025-03-27,432,0
37,Year-wise Details of Tax Devolution under Fifteenth Finance Commission from 2021 to 2026 - Delhi,f75918c4-8e1c-4c82-af45-83241d0b47d8,2025-03-27,61,0
38,State/UT-wise Details of Devolution of Shareable Taxes and Duties as per recommendation of Finance Commission from 2018-19 to 2022-23 - Puducherry,413e558d-1084-4046-99d7-3d75b06a4cc3,2025-03-27,218,0
39,State/UT-wise Details of Loans Disbursed and Beneficiaries covered under National Scheduled Tribes Finance and Development Corporation (NSTFDC) Scheme (In Reply to Unstarred Question on 06-12-2023) - Ladakh,e8bcc67b-04a5-4d80-ada6-4212c7806de8,2025-03-27,235,0
40,Year-wise Number of Beneficiaries and Disbursed Concessional Loans under National Scheduled Tribes Finance & Development Corporation (NSTFDC) from 2019-20 to 2023-24 - Andhra Pradesh,0a2c6e17-7517-4a9b-af83-3ca0a38a3d9c,2025-03-27,197,0
41,"Year-wise Details of Funds Released by National Minorities Development and Finance Corporation (NMDFC) to Maharashtra, Maulana Azad Alpsankhyak Aarthik Vikas Nigam (MAAAVM) from 2020-21 to 2023-24",99339841-6d2c-424a-a53b-898758d96389,2025-03-27,346,0
42,Year-wise Details of Amount Disbursed under National Scheduled Tribes Finance and Development Corporation (NSTFDC) in Jharkhand from 2018-19 to 2023-24,5e7bae6d-a177-410b-beea-4f5a8ad233c4,2025-03-27,117,0
43,State-wise Details of Adoption of eGramSwaraj at the Panchayat Level for XV Finance Commission under eGramSwaraj during 2024-25 - Arunachal Pradesh,3b3e1cae-c242-4c85-bb59-5f2183e763d4,2025-03-05,316,0
44,State-wise Details of Adoption of eGramSwaraj at the Panchayat Level for XV Finance Commission under eGramSwaraj during 2023-24 - Assam,361949da-b79a-454e-959e-c03e86a488ae,2025-03-05,466,0
45,State/UT-wise Details of Allocation and Release of Fifteenth Finance Commission (XV-FC) Tied Grants to All the States to Rural Local Bodies/Panchayati Raj Institutions for Utilization for Rainwater Harvesting from 2021-22 to 2023-24 - Bihar,6167c6fe-afaa-4ad8-b1e0-dfb229e9b8fe,2024-11-03,150,0
46,State-wise Details of Concessional Credit Disbursed under National Minorities Development & Finance Corporation (NMDFC) Schemes from 2019-20 to 2024-25 - Chhattisgarh,f5d057f5-e79f-49ac-ad7e-a706b6df4592,2024-11-03,463,0
47,"State-wise, Details of Allocation of Fifteenth Finance Commission (XV FC) Grants for Rural Local Bodies for from 2020-21 and 2021-26 - Goa",5ce2191a-2235-4e67-bae4-e5cd8469d3ce,2024-09-12,351,0
48,State-wise Allocation of the Fifteenth Finance Commission Grants to Rural Local Bodies from 2020-21 to 2025-26 - Gujarat,ace20862-0bb1-418a-9631-0248528436e7,2024-09-11,50,0
49,State/UT-wise Allocation of Fifteenth Finance Commission Grants to the States including Andhra Pradesh and Gujarat for Rural Local Bodies from 2020-21 to 2023-24,e100a276-3917-4472-b366-558c19fcee2f,2024-03-22,300,0
50,"Project-wise Detail of Funds sanctioned and disbursed by Power Finance Corporation Ltd(PFC Ltd) and Rural Electrification Corporation Limited(REC Ltd) (in Reply to Unstarred Question on 8 August, 2023) - Haryana",df42edbe-90df-408f-81e0-41e5d153afc0,2024-03-22,298,0
51,State/UT-wise Short Term- Refinance disbursement for Seasonal Agricultural Operations to State Cooperative  Banks (StCB) from 2018-19 to 2022-2023 - Himachal Pradesh,9cf8497f-e68d-4612-99f1-79cedb6f11e5,2024-03-22,280,0
52,State/UT-wise Short Term- Refinance disbursement for Seasonal Agricultural Operations to Regional Rural  Banks from 2018-19 to 2022-23 - Jharkhand,fe5bb413-77bf-4b61-aff8-5a3674545cba,2024-03-22,252,0
53,State/UT-wise Long Term- Refinance to Rural Finance Institutions (RFIs) from 2018-19 to 2022-23 - Karnataka,3f3d4b3d-516d-4cd0-b1cc-0c01a9f2cedb,2024-03-22,475,0
54,"State/UT-wise Details of Beneficiaries, both Men and Women,under the schemes of National Scheduled Tribes Finance and Development Corporation (NSTFDC) from 2020-21 to 2022-23 - Kerala",90c777d1-a104-425e-b019-272eb9f0e46c,2024-03-22,84,0
55,Source-wise Details of Net Borrowing for Finance Fiscal Deficit during 2023-24 - Madhya Pradesh,f386e8df-733b-4c63-9b83-11e46455ac6f,2023-12-27,87,0
56,State/UT-wise Number of PMJDY Accounts As on 20.12.2017 (From: Ministry of Finance) - Maharashtra,27d02b14-3365-4b5c-b14a-3f8bcbd719e9,2023-12-14,495,0
