Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
46,"Rural BPL families identified by the States/UTs under BPL Census, 2002 (From :Ministry of Rural Development) - Gujarat",15816b34-4988-42aa-bbde-a6b8fcf9dd26,2025-09-30,36,6
47,"Village/Town-wise Primary Census Abstract, 2011 - Ganderbal District of JAMMU &amp; KASHMIR",d2d9a9a5-b5b4-4439-bb74-729a05c24bfa,2025-09-30,129,98
48,State/ UT-wise Area and Population by Census during 1991 - Himachal Pradesh,da6ea109-f75c-42f5-80bc-cf28fdcdc773,2025-09-30,33,12
49,6th Minor Irrigation Census - Surface Flow - Arunachal Pradesh,25d526da-e7af-4b0b-81d2-a3c5f6a35931,2025-09-30,348,0
50,State-Wise Distribution Of Principal Characteristics (Fourth All India Census of MSME: Registered Sector) - Jharkhand,d1ea440b-fb8b-444e-9d00-153f31d6e3db,2025-09-15,244,0
51,Literacy Rate In Percentage as per 2011 Census,c13960ee-4c35-4890-b034-28ed152f525f,2025-09-14,228,13
52,"State/UT-wise Number of Towns, Slum Households and Population as per Census, 2011 (From : Ministry of Housing &amp; Urban Affairs) - Karnataka",bbd554e2-153a-480e-b30f-9d097c3b64ca,2025-09-14,36,7
53,"20th Livestock Census, Mizoram",a8e23ab6-ef98-4e28-8add-7d30a0f7308e,2025-09-13,12,3
54,Number of Non-agricultural establishments and persons usually working as in Economic census in Punjab,69d0b847-42b8-40ff-ba44-1f08dffadb3c,2025-09-13,15,9
55,Area Population Density and Population - 2011 Census,b1f38af9-eca1-4da0-964e-4c271096d71f,2025-09-13,228,10
56,census,b5ce0e03-a1ed-496b-abd3-90fc80ff9c0c,2025-08-31,993,29
57,State/UT-wise Number of Electrification of Inhabited Census Villages under Deen Dayal Upadhyaya Gram Jyoti Yojana (DDUGJY) (In reply to Unstarred Question as on 24th March 2025) - Kerala,6528fd1c-352d-40b8-9a70-e8017008444d,2025-08-10,21,5
58,State/UT-wise Number of Slum Household and Population reported in Census 2011 in respect of 100 cities selected under Smart Cities Mission (SCM) (in Reply to Starred Question on 17 March 2025) - Madhya Pradesh,e5297cdf-a84e-4e47-9d39-716c384b3d9e,2025-08-10,101,7
59,State/UT-wise Number of Urban Houseless Population as per census 2011 (in Reply to Unstarred Question on 10 February 2025) - Maharashtra,efddad40-19d3-4c3b-a757-1af6aef276b7,2025-07-20,36,5
60,State/UT-wise Number of Agricultural Workers as per 2011 Census (in reply to Unstarred Question as on 28th March 2025) - Manipur,0f4f5f22-93c6-41a0-97fd-6abdd865f510,2025-06-27,118,0
61,State/UT-wise Number of Operational Holdings in Marginal Farmer Size Group as per Agriculture Census during 2015-16 - Meghalaya,9704ae00-b6de-416c-9a46-ffa59b550bf4,2025-06-27,37,5
62,State-wise Number of Persons Who Moved in for Work and Employment ( Migrant Workers) as per Census 2011 (in Reply to Unstarred Question on 06 February 2025) - Mizoram,d3c08b38-96a7-4161-b658-ae0fe89ab9c7,2025-06-02,36,5
63,State/UT-wise Number of Cases of Encroachment of Water Bodies in Rural and Urban Areas as First Census of Water Bodies (in reply to Unstarred Question as on 16th December 2024) - Nagaland,e3757c6c-236c-43ef-a74c-8ac15b791d5b,2025-04-24,34,7
64,State-wise Number of Agricultural Labour as per Census Report during 2011 - Odisha,417b79dc-6e1c-4df7-b7af-17a281bb7999,2025-04-24,35,5
65,State/UT-wise Number of Electrification of Inhabited Census Villages under Deen Dayal Upadhyaya Gram Jyoti Yojana (DDUGJY) as on 28 April 2018 - Punjab,c7c650d4-39b3-4b5a-9783-76782e568ee5,2025-04-24,21,5
66,"State-wise Details of the Number of Persons Who Moved in for Work and Employment in the Country as per Census - 2011 (in Reply to Unstarred Question on 09 February, 2023)",b3abcc35-66b8-4200-9a6d-bf19c5937877,2025-04-24,36,5
67,State-wise Number of Persons Who Moved in for Work and Employment ( Migrant Workers) as per Census 2011 (in Reply to Unstarred Question on 06 April 2023) - Sikkim,a677ab15-1513-458d-8173-7e358ec94593,2025-04-24,215,0
68,State/UT-wise Details of Houseless Population as per Census 2011 (In Reply to Unstarred Question on 13-12-2023) - Tamil Nadu,34632045-e29e-4596-9739-965fe7d45a79,2025-03-27,142,0
69,States/UT-wise Gross Enrolment Ratio (GER) in Higher Education Based on 2011 Population census projection for 18-23 age group during 2021-22 - Telangana,7edbaeed-65e9-43ad-8f81-730187b70463,2025-03-27,296,0
70,State/UT-wise Details of Literacy Rate in respect of Scheduled Tribes as per Census 2011 (In Reply to Unstarred Question on 06-12-2023) - Tripura,04010a8d-1221-4862-8810-f69403159bb6,2025-03-27,409,0
71,State/UT-wise Number of Urban Households connected with Piped Sewer System and Septic Tank as per Census of India 2011 (in reply to Unstarred Question as on 25 November 2024) - Uttar Pradesh,6835dc96-0b0f-468e-a30f-0efccf770b3c,2025-03-05,281,0
72,Category-wise Number of MI Schemes as Available from the 6th Minor Irrigation (MI) Census Report in the State of Gujarat during 2023,be8d578f-874b-4e84-b419-89fdfd639cc6,2024-11-03,249,0
73,Category-wise Number of MI Schemes as available from the 6th Minor Irrigation (MI) Census Report during 2023 - Uttarakhand,175e986d-de30-4bb8-a25b-98cd1eb2591f,2024-11-03,466,0
74,"State/UT-wise Number of Towns, Slum Households and Slum Population under Pradhan Mantri Awas Yojana - Urban (PMAY-U) as per Census-2011 as on 29-07-2024",8bea9f34-2b9b-4c4a-a7ad-f9b4b062d2c0,2024-11-03,401,0
75,"State/UT-wise Details of of Handloom Co-operative Societies in the Country as per Handloom Census 2019-20, - Andaman and Nicobar Islands",b964109a-ef5d-409d-8124-0f217d87d84c,2024-04-14,368,0
76,State/UT-wise Number of Water Bodies Reported in the First Census of Water Bodies during April 2023 - Chandigarh,17c5dbf3-dab7-4b57-94ef-19a3463684d6,2024-03-22,109,0
77,State/UT-wise Slum Population in India as per Census 2011 (From: Ministry of Housing and Urban Affairs) - Dadra and Nagar Haveli,2350b577-6563-4420-ad37-a7d7f7e0c9d4,2023-12-14,390,0
78,"India/State/UT-wise Total Beggars, Vagrants etc. in India as per Census 2011 (From: Ministry of Social Justice and Empowerment) - Daman and Diu",d17510a1-4229-4e57-a951-c0718389a4bb,2023-12-14,273,0
79,State/ UT-wise Population of Persons with Disabilities as per Census during 2011 (From: Ministry of Skill Development and Entrepreneurship) - Lakshadweep,cf8fd9f4-262e-4d93-959a-53842a267499,2023-12-14,257,0
80,State/ UT-wise Houseless Population in India as per census during 2011 (From: Ministry of Housing and Urban Affairs) - Delhi,36a3e70e-33d9-4d2a-bb1b-3f8d5c040a3f,2023-12-14,428,0
81,State/ UT-wise Houseless Population for Scheduled Tribes (STs) in India -census-2011 as on 10/8/2017 (From: Ministry of Housing and Urban Affairs) - Puducherry,8b7b476f-65d3-43c8-accd-0b0648285f88,2023-12-14,150,0
82,State/ UT-wise Houseless Population for Scheduled Castes (SCs) in India-census-2011 as on 10-8-201 (From: Ministry of Housing and Urban Affairs ) - Ladakh,c4488dea-88cf-44f2-bf69-8d7e80d1d764,2023-12-14,159,0
83,State/ UT-wise Houseless Population in India as per census 2011 as on 10-08-2017 (From: Ministry of Housing and Urban Affairs ) - Andhra Pradesh,fd732df4-c233-4d76-8527-be0b641d36f1,2023-12-14,287,0
84,State/ UT-wise Number of Currently married Women below 18 years of age as per census from 2001 to 2011 (From: Ministry of Women and Child Development) - Arunachal Pradesh,367d0ca3-e9a9-4318-a52c-88b99770e8af,2023-12-14,497,0
85,"State/UT-wise Details of Wholly Leased-in Operational Holdings in the Country as per Agriculture Census 2015-16 (in reply to Unstarred Question on 3rd February, 2023) - Assam",0d3cc204-78a0-492f-866e-3a1753afe1dd,2023-12-09,163,0
86,State/UT-wise Fund Released and Utilized under Irrigation Census Scheme from 2018-19 to 2022-23 - Bihar,e026028f-23f6-4a61-9ed9-cb860dec67bc,2023-12-09,234,0
